iter	Logloss
0	0.6898436129
1	0.6866067364
2	0.68367803
3	0.6810237609
4	0.678237323
5	0.6754873811
6	0.6725127503
7	0.6696807072
8	0.6670089812
9	0.6646403495
10	0.6624498627
11	0.6601588291
12	0.6578551217
13	0.6560402765
14	0.6543410543
15	0.65227048
16	0.6503630072
17	0.6480629463
18	0.6462505614
19	0.6447754391
20	0.6432293827
21	0.6415947907
22	0.6397645899
23	0.6382946974
24	0.6368448744
25	0.6356910387
26	0.6341236671
27	0.6325919069
28	0.6312917997
29	0.6299907921
30	0.6287321632
31	0.6276005753
32	0.6261165329
33	0.6248845573
34	0.6238661652
35	0.6229098852
36	0.6216585476
37	0.6200600856
38	0.6190215175
39	0.6176280993
40	0.6165708879
41	0.6154169445
42	0.6144099411
43	0.6136239551
44	0.6127241017
45	0.6115466937
46	0.6108540474
47	0.6099583288
48	0.6089160687
49	0.6080244778
50	0.6072035247
51	0.6063910223
52	0.6054369286
53	0.6046599699
54	0.6036734044
55	0.6028371936
56	0.6020923298
57	0.6014557316
58	0.6004762273
59	0.5997872878
60	0.599063142
61	0.5978535788
62	0.5971596732
63	0.5965502677
64	0.5958384615
65	0.5950384992
66	0.5943805379
67	0.5934463087
68	0.5927613174
69	0.5919319031
70	0.5911521936
71	0.5905110816
72	0.5900454666
73	0.5893650325
74	0.5888609676
75	0.58810042
76	0.5873504981
77	0.5867293906
78	0.5863017951
79	0.5856087136
80	0.584768032
81	0.5843725607
82	0.5838055977
83	0.583500797
84	0.5827138536
85	0.5821745753
86	0.581087886
87	0.5807264777
88	0.5801221541
89	0.5797372208
90	0.5789359288
91	0.5782544419
92	0.5778428999
93	0.5772284707
94	0.576600707
95	0.5761930174
96	0.5758104707
97	0.5754176143
98	0.5747088356
99	0.5742526543
