iter	Passed	Remaining
0	2	249
1	4	203
2	5	178
3	7	171
4	8	160
5	9	150
6	11	150
7	13	153
8	14	151
9	16	149
10	18	147
11	19	146
12	21	144
13	23	142
14	24	141
15	26	139
16	27	136
17	29	135
18	31	132
19	32	131
20	33	126
21	35	125
22	37	124
23	38	123
24	41	123
25	42	122
26	44	120
27	46	119
28	48	118
29	50	116
30	51	115
31	53	113
32	55	112
33	56	110
34	58	108
35	60	107
36	62	105
37	63	103
38	65	102
39	66	100
40	68	98
41	70	97
42	72	95
43	73	92
44	75	91
45	77	90
46	78	89
47	80	87
48	82	85
49	83	83
50	85	81
51	86	80
52	88	78
53	90	76
54	91	75
55	93	73
56	94	71
57	96	69
58	98	68
59	99	66
60	101	65
61	103	63
62	105	61
63	107	60
64	109	58
65	110	57
66	112	55
67	114	53
68	115	52
69	117	50
70	119	48
71	121	47
72	122	45
73	124	43
74	126	42
75	128	40
76	129	38
77	131	37
78	133	35
79	134	33
80	136	31
81	138	30
82	139	28
83	141	26
84	143	25
85	143	23
86	145	21
87	147	20
88	148	18
89	150	16
90	152	15
91	154	13
92	155	11
93	157	10
94	159	8
95	160	6
96	162	5
97	164	3
98	165	1
99	167	0
